id|name|brand|details|price|size|is_by_weight
2091|LIMONADA LIGHT SIN GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=15988|1.4| BOTELLIN PACK 4 X 330 ML - 1320 ML|false
2092|NARANJA SIN GAS 12% ZUMO| GOLD SPRING|https://www.telecompra.mercadona.es/detall_producte.php?id=28077|1.15| BOTELLA 2 L|false
2093|NARANJA SIN GAS 12% ZUMO| GOLD SPRING|https://www.telecompra.mercadona.es/detall_producte.php?id=27842|1.4| BOTELLIN PACK 4 X 330 - 1320 ML|false
2094|NARANJA SIN GAS FLORIDA REFRIGERADO| SUNNY|https://www.telecompra.mercadona.es/detall_producte.php?id=27754|1.7| BOTELLIN PACK 4 X 200 ML - 800 ML|false
2095|NARANJA SIN GAS FLORIDA REFRIGERADO| SUNNY|https://www.telecompra.mercadona.es/detall_producte.php?id=27759|1.89| BOTELLA 1250 ML|false
2096|NARANJA SIN GAS VITAMINADA REFRIGERADO| SIMON LIFE|https://www.telecompra.mercadona.es/detall_producte.php?id=27951|1.6| BOTELLA 1500 ML|false
2097|NARANJA SIN GAS| TRINA|https://www.telecompra.mercadona.es/detall_producte.php?id=27755|1| BOTELLA 1500 ML|false
2098|REFRESCO CARIBE SIN GAS CERO 35% ZUMO| GOLD SPRING|https://www.telecompra.mercadona.es/detall_producte.php?id=28193|1.15| BOTELLA 2 L|false
2099|REFRESCO FUSION FRUTAS SIN GAS CERO 35% ZUMO| GOLD SPRING|https://www.telecompra.mercadona.es/detall_producte.php?id=28187|1.15| BOTELLA 2 L|false
2100|REFRESCO MANZANA SIN GAS 10% ZUMO| GOLD SPRING|https://www.telecompra.mercadona.es/detall_producte.php?id=13606|0.9| BOTELLA 1500 ML|false
2101|REFRESCO PIÑA COCO SIN GAS CERO 35% ZUMO| GOLD SPRING|https://www.telecompra.mercadona.es/detall_producte.php?id=28191|1.15| BOTELLA 2 L|false
2102|REFRESCO SANDIA SIN GAS CERO 35% ZUMO| GOLD SPRING|https://www.telecompra.mercadona.es/detall_producte.php?id=28190|1.15| BOTELLA 2 L|false
2103|REFRESCO TE HERBAL Y LIMON ***NOVEDAD***| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=15695|1.2| BOTELLA 1500 ML|false
2104|REFRESCO TE LIMON CERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=27866|0.32| LATA 330 ML|false
2105|REFRESCO TE LIMON CERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=27865|1.92| LATA PACK 6 X 330 ML -1980 ML|false
2106|REFRESCO TE LIMON CERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=27805|0.75| BOTELLA 1500 ML|false
